IQ-TREE multicore version 1.6.12 for Mac OS X 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    Ewans-MacBook-Air.local (AVX2, FMA3, 8 GB RAM)
Command: /Applications/iqtree-1.6.12/bin/iqtree -s /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus -o Day0
Seed:    813579 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Apr  9 17:48:52 2024
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus ... Nexus format detected
Alignment has 4 sequences with 29903 columns, 24 distinct patterns
865 parsimony-informative, 9262 singleton sites, 19776 constant sites
       Gap/Ambiguity  Composition  p-value
   1  Day0     0.00%    failed      0.00%
   2  Day12    0.00%    failed      0.00%
   3  Day21    0.00%    failed      0.00%
   4  Day31    0.00%    failed      0.00%
****  TOTAL    0.00%  4 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.005 seconds
NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test 546 protein models (sample size: 29903) ...
 No. Model         -LnL         df  AIC          AICc         BIC
411  JTTDCMut+F+R5 88729.434    32  177522.868   177522.938   177788.650
412  JTTDCMut+F+R6 88723.341    34  177514.682   177514.761   177797.076
417  FLU           142690.809   5   285391.619   285391.621   285433.147
418  FLU+I         138505.459   6   277022.919   277022.922   277072.753
419  FLU+G4        138533.075   6   277078.150   277078.152   277127.984
420  FLU+I+G4      138505.586   7   277025.173   277025.176   277083.313
421  FLU+R2        139736.207   7   279486.414   279486.418   279544.554
422  FLU+R3        138568.872   9   277155.743   277155.749   277230.495
423  FLU+R4        138552.834   11  277127.669   277127.678   277219.032
424  FLU+R5        138543.589   13  277113.178   277113.190   277221.152
430  FLU+F         96102.255    24  192252.510   192252.550   192451.847
431  FLU+F+I       90150.966    25  180351.932   180351.976   180559.575
432  FLU+F+G4      90526.489    25  181102.977   181103.021   181310.620
433  FLU+F+I+G4    89882.992    26  179817.984   179818.031   180033.932
434  FLU+F+R2      94010.776    26  188073.552   188073.599   188289.500
435  FLU+F+R3      90813.921    28  181683.842   181683.897   181916.402
436  FLU+F+R4      90675.198    30  181410.395   181410.458   181659.567
437  FLU+F+R5      90588.208    32  181240.416   181240.487   181506.199
438  FLU+F+R6      90588.208    34  181244.416   181244.495   181526.810
443  Blosum62      141856.459   5   283722.918   283722.920   283764.447
444  Blosum62+I    141440.278   6   282892.556   282892.559   282942.390
445  Blosum62+G4   141591.844   6   283195.687   283195.690   283245.522
446  Blosum62+I+G4 141440.838   7   282895.677   282895.681   282953.817
447  Blosum62+R2   141508.201   7   283030.402   283030.406   283088.542
448  Blosum62+R3   141444.993   9   282907.987   282907.993   282982.738
449  Blosum62+R4   141443.856   11  282909.712   282909.721   283001.075
456  Blosum62+F    89522.605    24  179093.210   179093.250   179292.547
457  Blosum62+F+I  88865.639    25  177781.278   177781.321   177988.921
458  Blosum62+F+G4 89070.973    25  178191.946   178191.990   178399.589
459  Blosum62+F+I+G4 88866.103    26  177784.205   177784.252   178000.154
460  Blosum62+F+R2 88967.222    26  177986.444   177986.491   178202.392
461  Blosum62+F+R3 88872.715    28  177801.431   177801.485   178033.991
462  Blosum62+F+R4 88870.992    30  177801.984   177802.046   178051.155
469  mtMet         153989.967   5   307989.933   307989.935   308031.462
470  mtMet+I       149464.188   6   298940.376   298940.379   298990.210
471  mtMet+G4      150561.962   6   301135.923   301135.926   301185.758
472  mtMet+I+G4    149465.904   7   298945.808   298945.812   299003.948
473  mtMet+R2      150436.074   7   300886.147   300886.151   300944.287
474  mtMet+R3      149522.008   9   299062.015   299062.022   299136.767
475  mtMet+R4      149508.189   11  299038.378   299038.387   299129.741
476  mtMet+R5      149500.567   13  299027.133   299027.146   299135.108
482  mtMet+F       96865.976    24  193779.951   193779.991   193979.288
483  mtMet+F+I     90400.561    25  180851.122   180851.165   181058.765
484  mtMet+F+G4    92088.640    25  184227.281   184227.324   184434.923
485  mtMet+F+I+G4  90400.919    26  180853.838   180853.885   181069.787
486  mtMet+F+R2    92893.384    26  185838.767   185838.814   186054.716
487  mtMet+F+R3    90666.317    28  181388.634   181388.689   181621.194
488  mtMet+F+R4    90608.969    30  181277.938   181278.000   181527.109
489  mtMet+F+R5    90576.239    32  181216.479   181216.549   181482.261
490  mtMet+F+R6    90576.226    34  181220.452   181220.532   181502.847
495  mtVer         149185.334   5   298380.668   298380.670   298422.196
496  mtVer+I       144843.306   6   289698.613   289698.615   289748.447
497  mtVer+G4      146155.514   6   292323.028   292323.031   292372.862
498  mtVer+I+G4    144845.216   7   289704.432   289704.436   289762.572
499  mtVer+R2      145616.898   7   291247.797   291247.801   291305.937
500  mtVer+R3      144875.962   9   289769.923   289769.929   289844.675
501  mtVer+R4      144869.011   11  289760.022   289760.031   289851.385
508  mtVer+F       94827.519    24  189703.039   189703.079   189902.376
509  mtVer+F+I     89899.472    25  179848.944   179848.988   180056.587
510  mtVer+F+G4    91338.006    25  182726.012   182726.055   182933.655
511  mtVer+F+I+G4  89900.497    26  179852.993   179853.040   180068.942
512  mtVer+F+R2    91396.958    26  182845.916   182845.963   183061.865
513  mtVer+F+R3    89987.839    28  180031.678   180031.733   180264.238
514  mtVer+F+R4    89970.535    30  180001.070   180001.133   180250.242
515  mtVer+F+R5    89970.537    32  180005.073   180005.144   180270.856
521  mtInv         158416.664   5   316843.328   316843.330   316884.857
522  mtInv+I       154363.438   6   308738.876   308738.879   308788.710
523  mtInv+G4      155244.030   6   310500.060   310500.062   310549.894
524  mtInv+I+G4    154364.862   7   308743.724   308743.728   308801.864
525  mtInv+R2      154842.917   7   309699.834   309699.838   309757.974
526  mtInv+R3      154385.421   9   308788.843   308788.849   308863.594
527  mtInv+R4      154382.020   11  308786.040   308786.049   308877.403
534  mtInv+F       96375.214    24  192798.428   192798.468   192997.765
535  mtInv+F+I     90118.788    25  180287.575   180287.619   180495.218
536  mtInv+F+G4    91603.123    25  183256.246   183256.289   183463.888
537  mtInv+F+I+G4  90076.662    26  180205.324   180205.371   180421.272
538  mtInv+F+R2    91420.080    26  182892.160   182892.207   183108.109
539  mtInv+F+R3    90224.216    28  180504.432   180504.486   180736.992
540  mtInv+F+R4    90210.337    30  180480.673   180480.736   180729.845
541  mtInv+F+R5    90210.336    32  180484.672   180484.742   180750.454
Akaike Information Criterion:           cpREV+F+I
Corrected Akaike Information Criterion: cpREV+F+I
Bayesian Information Criterion:         cpREV+F+I
Best-fit model: cpREV+F+I chosen according to BIC

All model information printed to /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus.model.gz
CPU time for ModelFinder: 5.040 seconds (0h:0m:5s)
Wall-clock time for ModelFinder: 5.118 seconds (0h:0m:5s)
WARNING: States(s) R, D, Q, E, H, I, L, K, M, F, P, S, W, Y, V rarely appear in alignment and may cause numerical problems

NOTE: 0 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -87554.625
2. Current log-likelihood: -87551.820
3. Current log-likelihood: -87551.182
Optimal log-likelihood: -87551.123
Proportion of invariable sites: 0.305
Parameters optimization took 3 rounds (0.001 sec)
Computing ML distances based on estimated model parameters... 0.001 sec
Computing BIONJ tree...
0.001 seconds
Log-likelihood of BIONJ tree: -87551.115
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 99 parsimony trees... 0.186 second
Computing log-likelihood of 2 initial trees ... 0.000 seconds
Current best score: -87551.115

Do NNI search on 3 best initial trees
Finish initializing candidate tree set (3)
Current best tree score: -87551.115 / CPU time: 0.189
Number of iterations: 3
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 10 / LogL: -89071.955 / Time: 0h:0m:0s
Iteration 20 / LogL: -87559.861 / Time: 0h:0m:0s
Iteration 30 / LogL: -87559.861 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 40 / LogL: -87551.115 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 50 / LogL: -89071.955 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 60 / LogL: -87551.164 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 70 / LogL: -87559.861 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 80 / LogL: -87551.115 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 90 / LogL: -89071.955 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 100 / LogL: -89071.955 / Time: 0h:0m:0s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 101 ITERATIONS / Time: 0h:0m:0s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -87551.115
Optimal log-likelihood: -87551.114
Proportion of invariable sites: 0.304
Parameters optimization took 1 rounds (0.000 sec)
BEST SCORE FOUND : -87551.114
Total tree length: 0.577

Total number of iterations: 101
CPU time used for tree search: 0.210 sec (0h:0m:0s)
Wall-clock time used for tree search: 0.219 sec (0h:0m:0s)
